file,line,products,leak_class,line_text
lib/codex_mcp_config_doctor.ml,32,agent-code,header_or_env_literal,"let expected_x_masc_agent = ""agent-code-mcp-client"""
lib/codex_mcp_config_doctor.ml,33,agent-code,binding_name,"let codex_config_path_env_key = ""MASC_AGENT-CODE_CONFIG_PATH"""
lib/codex_mcp_config_doctor.ml,38,agent-code,needs_review,"  stage ""codex_oauth_login"" Stage_skip"
lib/codex_mcp_config_doctor.ml,39,agent-code,user_msg_string,"    ""`agent-code mcp login` is not part of the MASC bearer-token path"""
lib/codex_mcp_config_doctor.ml,110,agent-code,symbol_reference,  match Sys.getenv_opt codex_config_path_env_key |> Env_config_core.trim_opt with
lib/codex_mcp_config_doctor.ml,114,agent-code,path_template,"        (fun home -> Filename.concat home "".agent-code/config.toml"")"
lib/codex_mcp_config_doctor.ml,122,agent-code,symbol_reference,"          stage ""codex_config_file"" Stage_pass"
lib/codex_mcp_config_doctor.ml,124,agent-code,symbol_reference,"          stage ""codex_config_parse"" Stage_fail parse_error;"
lib/codex_mcp_config_doctor.ml,125,agent-code,needs_review,"          stage ""codex_server_config"" Stage_skip"
lib/codex_mcp_config_doctor.ml,126,agent-code,user_msg_string,"            ""skipped because Agent-Code config did not parse as TOML"";"
lib/codex_mcp_config_doctor.ml,127,agent-code,symbol_reference,"          stage ""codex_auth_model"" Stage_skip"
lib/codex_mcp_config_doctor.ml,128,agent-code,user_msg_string,"            ""skipped because Agent-Code config did not parse as TOML"";"
lib/codex_mcp_config_doctor.ml,129,agent-code,needs_review,"          stage ""codex_http_headers"" Stage_skip"
lib/codex_mcp_config_doctor.ml,130,agent-code,user_msg_string,"            ""skipped because Agent-Code config did not parse as TOML"";"
lib/codex_mcp_config_doctor.ml,131,agent-code,needs_review,"          stage ""codex_agent_header"" Stage_skip"
lib/codex_mcp_config_doctor.ml,132,agent-code,user_msg_string,"            ""skipped because Agent-Code config did not parse as TOML"";"
lib/codex_mcp_config_doctor.ml,187,agent-code,symbol_reference,"        stage ""codex_config_file"" Stage_pass"
lib/codex_mcp_config_doctor.ml,191,agent-code,symbol_reference,"        stage ""codex_config_parse"" Stage_pass ""TOML parsed"""
lib/codex_mcp_config_doctor.ml,195,agent-code,needs_review,"          stage ""codex_server_config"" Stage_pass"
lib/codex_mcp_config_doctor.ml,198,agent-code,needs_review,"          stage ""codex_server_config"" Stage_fail"
