file,line,rhs,triage_class_guess
lib/activity_graph/activity_graph_reducer.ml,32,None,unclassified
lib/activity_graph/activity_graph_types.ml,51,None,unclassified
lib/activity_graph/activity_graph_types.ml,92,None,unclassified
lib/activity_graph/activity_graph_types.ml,166,None,unclassified
lib/activity_graph/activity_graph_types.ml,200,None,unclassified
lib/activity_graph/activity_graph.ml,495,None,unclassified
lib/activity_graph/activity_graph.ml,513,None,unclassified
lib/agent_economy.ml,100,None,unclassified
lib/agent_identity.ml,137,None,unclassified
lib/agent_identity.ml,358,None,unclassified
lib/agent_registry_eio.ml,128,None,unclassified
lib/agent_sdk_log_bridge.ml,56,None,unclassified
lib/agent_sdk_log_bridge.ml,116,None,unclassified
lib/agent_sdk_log_bridge.ml,141,None,unclassified
lib/agent_sdk_log_bridge.ml,171,false,unclassified
lib/agent_stress.ml,117,None,unclassified
lib/agent_stress.ml,123,None,unclassified
lib/agent_stress.ml,129,None,unclassified
lib/agent_stress.ml,204,(),unclassified
lib/attempt_state.ml,15,None,unclassified
lib/attempt_state.ml,70,None,unclassified
lib/attempt_state.ml,74,None,unclassified
lib/attempt_state.ml,79,None,unclassified
lib/attempt_state.ml,85,None,unclassified
lib/attempt_state.ml,129,None,unclassified
lib/audit_log.ml,351,None,unclassified
lib/audit_log.ml,384,None,unclassified
lib/audit_log.ml,393,None,unclassified
lib/auth_doctor.ml,374,None,unclassified
lib/auth_doctor.ml,499,None,unclassified
lib/auth_error_kind.ml,43,None,unclassified
lib/auth_login.ml,36,false,unclassified
lib/auth.ml,271,None,unclassified
lib/auth.ml,292,None,unclassified
lib/auth.ml,387,None,unclassified
lib/auth.ml,559,false,unclassified
lib/auth.ml,602,None,unclassified
lib/auto_recall.ml,323,None,unclassified
lib/auto_recall.ml,330,None,unclassified
lib/autonomous/autonomous_bridge.ml,101,None,unclassified
lib/autonomous/autonomous_executor.ml,25,None,unclassified
lib/autonomous/stimulus.ml,38,None,unclassified
lib/autonomous/wirein_helpers.ml,7,false,unclassified
lib/backend/backend_types.ml,104,false,unclassified
lib/backend/backend.ml,639,None,unclassified
lib/backend/backend.ml,643,None,unclassified
lib/backend/backend.ml,652,None,unclassified
lib/board_core_classify.ml,44,None,unclassified
lib/board_core_classify.ml,66,None,unclassified
lib/board_core_classify.ml,99,None,unclassified
lib/board_core_classify.ml,104,None,unclassified
lib/board_core_classify.ml,110,None,unclassified
lib/board_core_classify.ml,124,None,unclassified
lib/board_core_payload.ml,66,None,unclassified
lib/board_core.ml,348,None,unclassified
lib/board_core.ml,408,None,unclassified
lib/board_core.ml,518,None,unclassified
lib/board_core.ml,740,None,unclassified
lib/board_core.ml,746,None,unclassified
lib/board_core.ml,772,None,unclassified
lib/board_core.ml,1307,None,unclassified
lib/board_dispatch.ml,57,None,unclassified
lib/board_moderation.ml,28,None,unclassified
lib/board_moderation.ml,50,None,unclassified
lib/board_moderation.ml,66,None,unclassified
lib/board_votes.ml,51,None,unclassified
lib/board_votes.ml,427,None,unclassified
lib/board_votes.ml,451,None,unclassified
lib/board_votes.ml,465,(),unclassified
lib/board_votes.ml,499,(),unclassified
lib/board_votes.ml,611,(),unclassified
lib/board_votes.ml,954,None,unclassified
lib/bounded.ml,243,None,unclassified
lib/bounded.ml,250,None,unclassified
lib/bounded.ml,300,None,unclassified
lib/bounded.ml,309,None,unclassified
lib/cache_eio.ml,101,None,unclassified
lib/cache_eio.ml,123,None,unclassified
lib/cascade_decl/cascade_declarative_parser.ml,595,None,unclassified
lib/cascade_decl/cascade_declarative_parser.ml,617,None,unclassified
lib/cascade/cascade_attempt_fsm.ml,145,false,unclassified
lib/cascade/cascade_attempt_fsm.ml,164,None,unclassified
lib/cascade/cascade_attempt_fsm.ml,395,false,unclassified
lib/cascade/cascade_attempt_fsm.ml,424,false,unclassified
lib/cascade/cascade_attempt_fsm.ml,594,(),unclassified
lib/cascade/cascade_attempt_liveness_observer.ml,103,None,unclassified
lib/cascade/cascade_catalog_runtime.ml,1463,None,unclassified
lib/cascade/cascade_config_loader.ml,220,None,unclassified
lib/cascade/cascade_config_loader.ml,232,None,unclassified
lib/cascade/cascade_config_loader.ml,545,None,unclassified
lib/cascade/cascade_config_loader.ml,749,None,unclassified
lib/cascade/cascade_config_loader.ml,757,None,unclassified
lib/cascade/cascade_config_loader.ml,766,None,unclassified
lib/cascade/cascade_config_loader.ml,773,None,unclassified
lib/cascade/cascade_config_loader.ml,939,None,unclassified
lib/cascade/cascade_config_loader.ml,943,None,unclassified
lib/cascade/cascade_config_loader.ml,1002,None,unclassified
lib/cascade/cascade_config.ml,134,None,unclassified
lib/cascade/cascade_declarative_adapter.ml,98,None,unclassified
lib/cascade/cascade_error_classify.ml,100,None,unclassified
lib/cascade/cascade_error_classify.ml,106,None,unclassified
lib/cascade/cascade_error_classify.ml,120,None,unclassified
lib/cascade/cascade_error_classify.ml,404,None,unclassified
lib/cascade/cascade_error_classify.ml,414,None,unclassified
lib/cascade/cascade_error_classify.ml,552,false,unclassified
lib/cascade/cascade_error_classify.ml,569,None,unclassified
lib/cascade/cascade_error_classify.ml,598,None,unclassified
lib/cascade/cascade_event_bridge.ml,35,None,unclassified
lib/cascade/cascade_event_bridge.ml,44,None,unclassified
lib/cascade/cascade_event_bridge.ml,81,None,unclassified
lib/cascade/cascade_event_bridge.ml,87,(),unclassified
lib/cascade/cascade_event_bridge.ml,126,(),unclassified
lib/cascade/cascade_event_bridge.ml,815,None,unclassified
lib/cascade/cascade_event_bridge.ml,830,false,unclassified
lib/cascade/cascade_http_probe.ml,117,None,unclassified
lib/cascade/cascade_observation.ml,174,None,unclassified
lib/cascade/cascade_pool.ml,21,None,unclassified
lib/cascade_ref/cascade_ref.ml,101,None,unclassified
lib/cascade_ref/cascade_ref.ml,118,None,unclassified
lib/cascade_ref/cascade_ref.ml,123,None,unclassified
lib/cascade_ref/cascade_ref.ml,130,None,unclassified
lib/cascade_ref/cascade_ref.ml,149,None,unclassified
lib/cascade_ref/cascade_ref.ml,166,None,unclassified
lib/cascade_ref/cascade_ref.ml,171,None,unclassified
lib/cascade_ref/cascade_ref.ml,185,None,unclassified
lib/cascade_ref/cascade_ref.ml,195,None,unclassified
lib/cascade_ref/cascade_ref.ml,212,None,unclassified
lib/cascade_ref/cascade_ref.ml,217,None,unclassified
lib/cascade_ref/cascade_ref.ml,222,None,unclassified
lib/cascade/cascade_routes.ml,148,None,unclassified
lib/cascade/cascade_tier.ml,36,false,unclassified
lib/cascade/cascade_toml_materializer.ml,540,false,unclassified
lib/cascade/cascade_transport.ml,591,None,unclassified
lib/cascade/cascade_transport.ml,684,None,unclassified
lib/cascade/cascade_transport.ml,727,false,unclassified
lib/cascade/cascade_transport.ml,790,None,unclassified
lib/cascade/cascade_transport.ml,1069,None,unclassified
lib/cascade/cascade_transport.ml,1248,false,unclassified
lib/cascade/cascade_transport.ml,1281,None,unclassified
lib/cdal_runtime/direct_evidence.ml,79,None,unclassified
lib/cdal_runtime/mode_enforcer.ml,242,None,unclassified
lib/cdal_runtime/mode_enforcer.ml,269,None,unclassified
lib/cdal/adversarial_eval.ml,78,false,unclassified
lib/cdal/effect_evidence.ml,30,None,unclassified
lib/cdal/effect_evidence.ml,35,None,unclassified
lib/cdal/labeling.ml,148,None,unclassified
lib/chronicle_ingest.ml,42,None,unclassified
lib/chronicle_ingest.ml,224,None,unclassified
lib/chronicle_ingest.ml,230,false,unclassified
